               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 142,            0.019439,            0.014437,           0.0014517,             0.78093,             0.63741,             0.71249,             0.49813,            0.032083,            0.016094,             0.01616,           0.0076735,           0.0076735,           0.0076735
                 143,            0.019395,            0.013788,           0.0015139,             0.73802,             0.67506,              0.7054,             0.48905,            0.031931,            0.015741,            0.017022,            0.007657,            0.007657,            0.007657
                 144,            0.019586,            0.014391,            0.001381,             0.82235,             0.64922,             0.73297,             0.49459,            0.031088,            0.015649,            0.012361,           0.0076405,           0.0076405,           0.0076405
                 145,            0.019264,            0.014128,            0.001313,             0.78154,             0.64847,             0.71331,             0.47576,            0.032962,            0.016635,            0.015059,            0.007624,            0.007624,            0.007624
                 146,            0.018752,            0.014281,           0.0012827,              0.7607,             0.64277,             0.69984,             0.47831,            0.031566,            0.016699,             0.01575,           0.0076075,           0.0076075,           0.0076075
                 147,            0.019006,            0.014051,           0.0013155,             0.73254,              0.6896,             0.71185,             0.46958,            0.030374,            0.016344,             0.01014,            0.007591,            0.007591,            0.007591
                 148,            0.018859,            0.014351,           0.0013994,             0.82891,             0.67215,             0.72353,              0.4911,            0.031031,            0.016485,            0.012582,           0.0075745,           0.0075745,           0.0075745
                 149,             0.01957,             0.01453,           0.0012837,             0.81139,             0.65801,             0.71038,             0.49089,            0.031016,            0.016308,            0.013512,            0.007558,            0.007558,            0.007558
                 150,            0.019431,            0.014288,            0.001273,             0.79096,             0.67436,             0.72689,             0.49214,            0.031073,            0.016045,            0.014188,           0.0075415,           0.0075415,           0.0075415
                 151,            0.018731,            0.014069,           0.0014889,             0.75754,             0.66378,             0.74037,             0.48142,            0.032536,            0.016493,            0.014504,            0.007525,            0.007525,            0.007525
                 152,            0.018978,            0.014306,           0.0012873,             0.79747,             0.69908,             0.74331,             0.48192,            0.030794,            0.016071,            0.013428,           0.0075085,           0.0075085,           0.0075085
                 153,            0.019105,            0.014249,           0.0012425,             0.77306,             0.67183,             0.69741,             0.47751,            0.032209,            0.015656,            0.011778,            0.007492,            0.007492,            0.007492
                 154,            0.018798,            0.014403,           0.0014225,             0.73003,             0.70634,             0.67958,             0.47481,            0.030921,            0.016119,            0.015674,           0.0074755,           0.0074755,           0.0074755
